2019-08-03 14:12:51.705  INFO 19683 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$a13df75] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-03 14:12:56.852  INFO 19683 --- [main] com.atinbo.monitor.MonitorApplication    : The following profiles are active: local
2019-08-03 14:12:57.334  WARN 19683 --- [main] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'nacos-discovery' contains invalid characters, please migrate to a valid format.
2019-08-03 14:12:57.533  WARN 19683 --- [main] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2019-08-03 14:12:57.722  INFO 19683 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=258ac8a8-5b77-3d94-99f9-b01349ea2593
2019-08-03 14:12:57.749  INFO 19683 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$a13df75] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-03 14:12:57.947  INFO 19683 --- [main] org.xnio                                 : XNIO version 3.3.8.Final
2019-08-03 14:12:57.961  INFO 19683 --- [main] org.xnio.nio                             : XNIO NIO Implementation Version 3.3.8.Final
2019-08-03 14:12:57.998  WARN 19683 --- [main] io.undertow.websockets.jsr               : UT026009: XNIO worker was not set on WebSocketDeploymentInfo, the default worker will be used
2019-08-03 14:12:57.999  WARN 19683 --- [main] io.undertow.websockets.jsr               : UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used
2019-08-03 14:12:58.026  INFO 19683 --- [main] io.undertow.servlet                      : Initializing Spring embedded WebApplicationContext
2019-08-03 14:12:58.026  INFO 19683 --- [main] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 1159 ms
2019-08-03 14:12:58.550  INFO 19683 --- [main] o.s.b.w.servlet.FilterRegistrationBean   : Mapping filter: 'characterEncodingFilter' to: [/*]
2019-08-03 14:12:58.551  INFO 19683 --- [main] o.s.b.w.servlet.FilterRegistrationBean   : Mapping filter: 'webMvcMetricsFilter' to: [/*]
2019-08-03 14:12:58.551  INFO 19683 --- [main] o.s.b.w.servlet.FilterRegistrationBean   : Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2019-08-03 14:12:58.551  INFO 19683 --- [main] o.s.b.w.servlet.FilterRegistrationBean   : Mapping filter: 'formContentFilter' to: [/*]
2019-08-03 14:12:58.552  INFO 19683 --- [main] o.s.b.w.servlet.FilterRegistrationBean   : Mapping filter: 'requestContextFilter' to: [/*]
2019-08-03 14:12:58.552  INFO 19683 --- [main] o.s.b.w.servlet.FilterRegistrationBean   : Mapping filter: 'httpTraceFilter' to: [/*]
2019-08-03 14:12:58.552  INFO 19683 --- [main] o.s.b.w.servlet.ServletRegistrationBean  : Servlet dispatcherServlet mapped to [/]
2019-08-03 14:12:58.555  INFO 19683 --- [main] o.s.b.a.e.web.ServletEndpointRegistrar   : Registered '/actuator/jolokia' to jolokia-actuator-endpoint
2019-08-03 14:12:58.602  WARN 19683 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2019-08-03 14:12:58.602  INFO 19683 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-08-03 14:12:58.606  WARN 19683 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2019-08-03 14:12:58.606  INFO 19683 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-08-03 14:12:58.950  INFO 19683 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2019-08-03 14:12:59.076  WARN 19683 --- [main] ion$DefaultTemplateResolverConfiguration : Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2019-08-03 14:12:59.109  INFO 19683 --- [main] o.s.s.c.ThreadPoolTaskScheduler          : Initializing ExecutorService
2019-08-03 14:12:59.263  WARN 19683 --- [main] reactor.netty.tcp.TcpResources           : [http] resources will use the default LoopResources: DefaultLoopResources {prefix=reactor-http, daemon=true, selectCount=4, workerCount=4}
2019-08-03 14:12:59.263  WARN 19683 --- [main] reactor.netty.tcp.TcpResources           : [http] resources will use the default ConnectionProvider: PooledConnectionProvider {name=http, poolFactory=reactor.netty.resources.ConnectionProvider$$Lambda$531/815125505@2037f12b}
2019-08-03 14:12:59.644  INFO 19683 --- [main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 22 endpoint(s) beneath base path '/actuator'
2019-08-03 14:12:59.802  INFO 19683 --- [main] o.s.b.w.e.u.UndertowServletWebServer     : Undertow started on port(s) 9321 (http) with context path ''
2019-08-03 14:12:59.884  INFO 19683 --- [main] c.a.c.n.registry.NacosServiceRegistry    : nacos registry, atinbo-monitor 192.168.6.80:9321 register finished
2019-08-03 14:13:10.139  INFO 19683 --- [main] com.atinbo.monitor.MonitorApplication    : Started MonitorApplication in 24.175 seconds (JVM running for 30.708)
2019-08-03 14:13:10.268  INFO 19683 --- [XNIO-2 task-1] io.undertow.servlet                      : Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-08-03 14:13:10.268  INFO 19683 --- [XNIO-2 task-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2019-08-03 14:13:10.276  INFO 19683 --- [XNIO-2 task-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 7 ms
2019-08-03 14:36:17.037  INFO 19683 --- [Thread-66] c.a.c.n.registry.NacosServiceRegistry    : De-registering from Nacos Server now...
2019-08-03 14:36:17.093  INFO 19683 --- [Thread-66] c.a.c.n.registry.NacosServiceRegistry    : De-registration finished.
2019-08-03 14:36:17.094  INFO 19683 --- [Thread-66] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2019-08-03 14:36:17.100  INFO 19683 --- [Thread-66] io.undertow.servlet                      : Destroying Spring FrameworkServlet 'dispatcherServlet'
